file,field,description,units,data_type,missing_values
data/bootstrap/p01_l010_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l010_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l010_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p01_l010_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p01_l010_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p01_l020_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l020_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l020_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p01_l020_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p01_l020_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p01_l025_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l025_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l025_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p01_l025_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p01_l025_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p01_l050_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l050_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l050_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p01_l050_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p01_l050_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p01_l200_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l200_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p01_l200_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p01_l200_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p01_l200_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p02_l010_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l010_profiles.csv.gz,source_point_index,Position-row index within the input profile.,zero-based index,integer,Blank means unavailable; not zero
data/bootstrap/p02_l010_profiles.csv.gz,probe_position_deg,"Signed probe position relative to fixation, as recorded.",degree of visual angle,number,Blank means unavailable; not zero
data/bootstrap/p02_l010_profiles.csv.gz,log_sensitivity_ratio,Natural logarithm of flanker sensitivity / base sensitivity. Positive indicates facilitation.,dimensionless (natural log ratio),number,Blank means unavailable; not zero
data/bootstrap/p02_l010_profiles.csv.gz,spread_recorded,Sample SD (ddof=1) of all pairwise staircase log threshold ratios at this position; not SE or CI.,natural log ratio,number,Blank means unavailable; not zero
data/bootstrap/p02_l026_profiles.csv.gz,source_input_index,"Actual original input-file index, 0–49999; input zero is deterministic.",zero-based index,integer,Blank means unavailable; not zero
